SN,Question,Answer
1~|~What services can the general public receive directly from Nepal Rastra Bank?~|~The general public can receive services related to coin and note exchange, foreign currency exchange, purchase of gold, silver and gold coins, souvenir coins, purchase and sale of government bonds from both the provincial offices and the headquarters of Nepal Rastra Bank. Additionally, the general public can also have their complaints regarding the activities of banks and financial institutions heard and addressed. Souvenir coins and medallions can be purchased from the Currency Management Department, Minting Division, Babarmahal, and gold and silver bullion/coins can be purchased from the Mint Division under the Currency Management Department, Babarmahal and provincial offices.~|~
2~|~What services can the general public receive directly from Nepal Rastra Bank? ~|~The general public can receive services related to coin and note exchange, foreign currency exchange, purchase of gold, silver and gold coins, souvenir coins, purchase and sale of government bonds from both the provincial offices and Nepal Rastra Bank Headquarters. Additionally, the general public can also have complaints heard and addressed regarding the activities of banks and financial institutions. Souvenir coins and medallions can be purchased from the Currency Management Department, Minting Division, Babarmahal. Gold and silver bullion/coins can be purchased from the Mint Division under the Currency Management Department, Babarmahal and provincial offices.~|~
3~|~How can one identify whether an organization is licensed/permitted by Nepal Rastra Bank or not?~|~An organization licensed/permitted by Nepal Rastra Bank has the words "Licensed/Permitted by Nepal Rastra Bank" written on its signboard. Additionally, a list of organizations licensed/permitted by the bank is available on the bank's website.~|~
4~|~Does Nepal Rastra Bank grant permission to cooperatives?~|~Nepal Rastra Bank does not grant permission to cooperatives.~|~
5~|~How many types of banks and financial institutions are licensed by Nepal Rastra Bank?~|~There are 4 types of banks and financial institutions licensed by Nepal Rastra Bank: commercial banks, development banks, finance companies, and microfinance financial institutions. These institutions are also classified as "A", "B", "C", and "D" class banks and financial institutions respectively. Apart from these, infrastructure development banks and hire purchase companies are also licensed.~|~
6~|~Who can get a loan from Nepal Rastra Bank?~|~Nepal Rastra Bank can provide loans and refinances to banks and financial institutions for a maximum period of one year. In addition, the bank can also provide overdraft facilities to the Government of Nepal, if necessary, to repay the loan within one hundred and eighty days.~|~
7~|~Who cannot open an account at Nepal Rastra Bank?~|~The Nepal Rastra Bank Act prohibits operating an account for any individual, industry, or political organization. Therefore, the general public and private organizations cannot open an account at Nepal Rastra Bank.~|~
8~|~Which entities can open an account at Nepal Rastra Bank?~|~The Government of Nepal, other government entities, commercial banks and financial institutions, public corporations, foreign missions, foreign central banks, foreign banks and international organizations and institutions can open an account at Nepal Rastra Bank.~|~
9~|~What are the main functions of Nepal Rastra Bank?~|~Nepal Rastra Bank mainly performs the following functions: Issuing Nepalese currency and coins, licensing banks and financial institutions and regulating and supervising them, formulating monetary policy and foreign exchange policy, managing and operating foreign exchange reserves, acting as the banker, advisor and financial agent of the Government of Nepal, promoting and regulating the payment, settlement and reconciliation system, and managing liquidity.
~|~
10~|~What is the mission of Nepal Rastra Bank?~|~The mission of Nepal Rastra Bank is to “achieve macroeconomic and financial stability through effective monetary, foreign exchange, financial sector, and payment system policies for sustainable and inclusive economic development.”~|~
11~|~What is the vision of Nepal Rastra Bank?~|~The vision of Nepal Rastra Bank is to be a "modern, dynamic, reliable and effective central bank".~|~
12~|~What are the objectives of Nepal Rastra Bank?~|~The main objectives of Nepal Rastra Bank are to formulate and manage monetary and foreign exchange policies to maintain price and balance of payments stability, to regulate and supervise the banking sector to maintain the stability of the banking and financial sector, and to develop a safe, sound, and efficient payment system. According to the Nepal Rastra Bank Act, 2058, the main objectives of monetary policy are to maintain price and balance of payments stability for economic stability and sustainable development of the economy.~|~
13~|~In which provinces are the offices of Nepal Rastra Bank located?~|~Nepal Rastra Bank offices are located in all seven provinces of the country. Specifically:
*   Province 1: Biratnagar
*   Madhesh Province: Janakpur and Birgunj
*   Gandaki Province: Pokhara
*   Lumbini Province: Siddharthanagar and Nepalgunj
*   Karnali Province: Surkhet
*   Sudurpaschim Province: Dhangadhi
*   Bagmati Province: Kathmandu (central office, banking department, and tax division)~|~
14~|~When was Nepal Rastra Bank established?~|~Nepal Rastra Bank was established on 26 April 1956 (Baisakh 14, 2013).~|~
15~|~What kind of bank is Nepal Rastra Bank?, Where is its central office located?~|~Nepal Rastra Bank is the central bank of Nepal and also the monetary authority and regulator/supervisor of the banking system. Its central office is located in Baluwatar, Kathmandu.
~|~
16~|~What is the role of Nepal Rastra Bank in maintaining price stability?~|~Nepal Rastra Bank plays a role in maintaining price stability through appropriate management of monetary variables including interest rates, availability of credit, and money supply through monetary policy. Maintaining price stability is one of the objectives of Nepal Rastra Bank as mentioned in Section 4 of the Nepal Rastra Bank Act, 2058.~|~
17~|~What is meant by Price Stability?~|~Price stability means low and stable inflation. It helps maintain the purchasing power of the currency.~|~
18~|~How is consumer inflation measured?~|~Consumer inflation is measured on the basis of the Consumer Price Index (CPI). The CPI is calculated by collecting the prices of goods and services in the consumer basket (CPI Basket) determined in the base year 2080/81 on a weekly, monthly, and quarterly basis. Inflation is then defined as the rate of annual point change in the consumer price index.~|~
19~|~what items are included in calculating the Consumer Price Index?~|~The consumer basket includes 525 goods and services that are used the most by households in Nepal. These are divided into two groups: food and beverages (35.49% weight, 10 subgroups) and non-food and services (64.51% weight, 13 subgroups).~|~
20~|~How can I get Nepal Rastra Bank publications?~|~Nepal Rastra Bank publications are mainly available on the bank's website www.nrb.org.np. Some publications are also available in print and such printed publications are also available at the bank's central office, Baluwatar.~|~
21~|~What kind of data does Nepal Rastra Bank collect, process and publish?~|~Nepal Rastra Bank collects, processes and publishes data on credit, deposit and financial sector, payment services, prices, financial access, money supply, government revenue and expenditure, balance of payments and international finance, and other macroeconomic and financial sector-related issues.~|~
